Date,pm2.5,pm10,O3,NO2,SO2,co,AQI,Dominant_Pollutant,PM25_SubIndex,PM10_SubIndex,NO2_SubIndex,SO2_SubIndex,CO_SubIndex,O3_SubIndex,Month,DayOfWeek,IsWeekend,season_Autumn,season_Monsoon,season_Spring,season_Summer,season_Winter,aqi_lag_1,pm2.5_lag_1,co_lag_1,aqi_lag_2,pm2.5_lag_2,co_lag_2,aqi_lag_7,pm2.5_lag_7,co_lag_7,aqi_roll_mean_3,aqi_roll_mean_7,aqi_roll_std_7,target_aqi_t1,target_aqi_t7
2015-01-01,-0.30199873860767373,70.0,-1.0765877509587198,-0.5618200621912535,-0.3394937384841414,-0.2318430684435906,317,pm2.5,316.9230769230769,70.0,25.0,5.0,0.65,3.0,1,3,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.23192809986689567,0.04433866969152823,-0.30238261991476845,-0.23213396474184983,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-02,-0.30199873860767373,70.0,-1.0573701105645636,-0.5860224765502493,-0.3394937384841414,-0.25683511596369796,317,pm2.5,316.9230769230769,70.0,24.464285714285715,5.0,0.6357142857142857,3.2666666666666666,1,4,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.23192809986689567,0.04433866969152823,-0.30238261991476845,-0.23213396474184983,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-03,-0.30199873860767373,97.0,-1.0381524701704072,-0.6102248909092454,-0.3394937384841414,-0.28182716348380543,317,pm2.5,316.9230769230769,97.0,23.928571428571427,5.0,0.6214285714285714,3.533333333333333,1,5,1,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.2569208590928159,0.04433866969152823,-0.30238261991476845,-0.23213396474184983,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-04,-0.30199873860767373,97.0,-1.0189348297762508,-0.6344273052682412,-0.3394937384841414,-0.3068192110039128,317,pm2.5,316.9230769230769,97.0,23.392857142857146,5.0,0.6071428571428571,3.8,1,6,1,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.28191361831873635,0.04433866969152823,-0.30238261991476845,-0.2571291858144643,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-05,-0.30199873860767373,97.0,-0.9997171893820946,-0.6586297196272374,-0.3394937384841414,-0.33181125852402027,317,pm2.5,316.9230769230769,97.0,22.857142857142854,5.0,0.5928571428571427,4.066666666666666,1,0,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.3069063775446566,0.04433866969152823,-0.30238261991476845,-0.2821244068870789,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-06,-0.30199873860767373,97.0,-0.9804995489879385,-0.6828321339862332,-0.3394937384841414,-0.35680330604412763,317,pm2.5,316.9230769230769,97.0,22.321428571428573,5.0,0.5785714285714285,4.333333333333333,1,1,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.331899136770577,0.04433866969152823,-0.30238261991476845,-0.3071196279596934,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-07,-0.30199873860767373,97.0,-0.961281908593782,-0.7070345483452293,-0.3394937384841414,-0.3817953535642351,317,pm2.5,316.9230769230769,97.0,21.785714285714285,5.0,0.5642857142857142,4.6,1,2,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.35689189599649723,0.04433866969152823,-0.30238261991476845,-0.33211484903230803,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-08,-0.30199873860767373,97.0,-0.9420642681996256,-0.7312369627042251,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,21.25,5.0,0.5499999999999999,4.866666666666667,1,3,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.38188465522241766,0.04433866969152823,-0.30238261991476845,-0.3571100701049225,0.043691394002772124,-0.30296258892795397,-0.23294886567850806,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-09,-0.30199873860767373,97.0,-0.9228466278054694,-0.6818237000546085,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,22.34375,5.0,0.5499999999999999,5.133333333333333,1,4,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.3821052911775371,0.043691394002772124,-0.30296258892795397,-0.25795297678709767,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-10,-0.30199873860767373,97.0,-0.903628987411313,-0.6324104374049917,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,23.4375,5.0,0.5499999999999999,5.4,1,5,1,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.28295708789568735,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-11,-0.30199873860767373,97.0,-0.8844113470171568,-0.5829971747553749,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,24.53125,5.0,0.5499999999999999,5.666666666666666,1,6,1,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.30796119900427693,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-12,-0.30199873860767373,97.0,-0.8651937066230004,-0.5335839121057582,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,25.625,5.0,0.5499999999999999,5.933333333333334,1,0,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.3329653101128667,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-13,-0.30199873860767373,97.0,-0.8459760662288441,-0.4841706494561414,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,26.71875,5.0,0.5499999999999999,6.199999999999999,1,1,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.35796942122145625,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-14,-0.30199873860767373,97.0,-0.8267584258346878,-0.43475738680652465,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,27.8125,5.0,0.5499999999999999,6.466666666666667,1,2,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.382973532330046,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-15,-0.30199873860767373,97.0,-0.8075407854405314,-0.3853441241569079,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,28.90625,5.0,0.5499999999999999,6.733333333333333,1,3,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.4079776434386356,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-16,-0.30199873860767373,97.0,-0.7883231450463751,-0.3359308615072911,-0.3394937384841414,-0.40678740108434247,317,pm2.5,316.9230769230769,97.0,30.0,5.0,0.5499999999999999,7.0,1,4,0,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.4079776434386356,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
2015-01-17,-0.30199873860767373,97.0,-0.7686687400978062,-0.3513323979175613,-0.3394937384841414,-0.4226914313244109,317,pm2.5,316.9230769230769,97.0,29.659090909090907,5.0,0.5409090909090909,7.2727272727272725,1,5,1,0,0,0,0,1,0.044319525243740186,-0.3024149831930449,-0.4068774144483379,0.04433866969152823,-0.30238261991476845,-0.4071005122501516,0.043691394002772124,-0.30296258892795397,-0.4079776434386356,0.046716441645839275,0.048469179233848886,-1.4160065501806427,317.0,317.0
